Mon Apr 14 17:13:50 2025

Number of Points = 16359
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-160.350645	-28.302590	1.176128	1.554970	0.071955
-161.482052	-222.947492	1.181133	1.555130	0.071803
-162.558843	-130.612519	1.186138	1.555262	0.071874
-163.823876	-258.767412	1.191142	1.555434	0.071774
-164.258544	-161.958265	1.196147	1.555484	0.071850
-165.727163	-193.537727	1.201152	1.555675	0.071825
-166.369867	-323.142616	1.206157	1.555768	0.071723
-167.391522	-213.927185	1.211162	1.555892	0.071808
-168.624288	-164.404855	1.216166	1.556047	0.071847
-169.340125	-136.700938	1.221171	1.556138	0.071868
-170.561459	-200.571071	1.226176	1.556300	0.071818
-171.515936	-164.817512	1.231181	1.556421	0.071846
-172.612273	-169.003179	1.236186	1.556562	0.071842
-173.770584	-128.871474	1.241190	1.556709	0.071873
-174.361751	-166.640490	1.246195	1.556788	0.071843
-175.073336	-199.489539	1.251200	1.556882	0.071818
-176.622159	-256.813333	1.256205	1.557086	0.071772
-177.899335	-48.952325	1.261210	1.557236	0.071934
-178.730334	-327.940945	1.266214	1.557363	0.071716
-179.849971	-205.654411	1.271219	1.557499	0.071812
-180.681249	-184.012626	1.276224	1.557605	0.071828
-181.746568	-206.753082	1.281229	1.557744	0.071810
-182.380682	-148.625188	1.286234	1.557822	0.071855
-183.826301	-247.602052	1.291238	1.558015	0.071778
-184.415555	-90.090022	1.296243	1.558080	0.071900
-185.591338	-33.190768	1.301248	1.558228	0.071945
-186.779077	-245.710706	1.306253	1.558396	0.071779
-187.882476	-176.935682	1.311258	1.558534	0.071832
-188.878037	-220.364709	1.316262	1.558665	0.071798
-189.645315	-136.159076	1.321267	1.558758	0.071863
-190.632068	-230.838964	1.326272	1.558893	0.071789
-191.566606	-157.921422	1.331277	1.559008	0.071846
-192.807884	-195.632163	1.336282	1.559171	0.071816
-193.854748	-229.434059	1.341286	1.559308	0.071789
-194.538630	-193.069060	1.346291	1.559394	0.071818
-195.722170	-161.381692	1.351296	1.559545	0.071842
-196.523853	-98.274364	1.356301	1.559644	0.071891
-197.825028	-240.819979	1.361306	1.559822	0.071779
-198.742427	-172.381596	1.366310	1.559935	0.071833
-199.820932	-241.078636	1.371315	1.560080	0.071779
-200.724093	-125.688989	1.376320	1.560188	0.071868
-201.336866	-105.983673	1.381325	1.560266	0.071884
-202.848729	-189.434863	1.386330	1.560467	0.071818
-203.635125	-142.912718	1.391334	1.560565	0.071854
-204.779131	-244.504176	1.396339	1.560720	0.071775
-205.496358	-158.294255	1.401344	1.560807	0.071842
-206.756861	-202.367801	1.406349	1.560972	0.071807
-207.774387	-163.321114	1.411354	1.561101	0.071837
-208.565199	-185.826754	1.416358	1.561205	0.071820
-209.662411	-257.633302	1.421363	1.561352	0.071763
-210.654887	-164.806908	1.426368	1.561473	0.071835
-211.716220	-160.645125	1.431373	1.561610	0.071838
-212.668209	-205.314760	1.436378	1.561736	0.071803
-213.740386	-196.801054	1.441382	1.561874	0.071810
-214.764679	-303.975033	1.446387	1.562014	0.071726
-215.741244	-169.359939	1.451392	1.562130	0.071831
-216.566261	-213.245587	1.456397	1.562240	0.071796
-217.829774	-165.383438	1.461402	1.562400	0.071833
-218.804025	-226.700755	1.466406	1.562530	0.071785
-219.496843	-171.331423	1.471411	1.562616	0.071828
-220.797759	-209.672985	1.476416	1.562786	0.071798
-221.562122	-79.294257	1.481421	1.562876	0.071899
-222.945613	-101.892055	1.486426	1.563056	0.071881
-223.784306	-162.597354	1.491430	1.563169	0.071834
-224.848562	-203.363279	1.496435	1.563309	0.071802
-225.973204	-211.456000	1.501440	1.563455	0.071795
-226.821389	-217.337571	1.506445	1.563565	0.071790
-227.545812	-159.436348	1.511450	1.563655	0.071835
-228.844344	-212.782010	1.516454	1.563826	0.071793
-229.887171	-188.724015	1.521459	1.563959	0.071812
-230.959138	-177.776484	1.526464	1.564097	0.071820
-231.870961	-129.529803	1.531469	1.564211	0.071857
-232.756340	-180.033805	1.536474	1.564329	0.071818
-233.907965	-156.402820	1.541478	1.564476	0.071836
-234.698194	-243.188889	1.546483	1.564584	0.071768
-235.403060	-132.500853	1.551488	1.564668	0.071854
-236.607140	-242.618834	1.556493	1.564831	0.071768
-237.702341	-211.229585	1.561498	1.564970	0.071792
-238.813868	-165.544792	1.566502	1.565111	0.071828
-239.551231	-233.709876	1.571507	1.565211	0.071774
-240.586241	-230.107266	1.576512	1.565344	0.071777
-241.643605	-278.389406	1.581517	1.565484	0.071739
-242.475721	-160.977465	1.586522	1.565584	0.071830
-243.732588	-47.003377	1.591526	1.565738	0.071919
-244.643512	-233.611726	1.596531	1.565869	0.071773
-245.957732	-158.510252	1.601536	1.566033	0.071831
-247.060437	-236.546446	1.606541	1.566181	0.071770
-247.663781	-184.572702	1.611546	1.566256	0.071810
-248.643472	-129.227337	1.616550	1.566378	0.071853
-249.905792	-221.037991	1.621555	1.566548	0.071781
-250.688778	-155.284116	1.626560	1.566644	0.071833
-251.820433	-184.909680	1.631565	1.566793	0.071809
-252.964465	-139.107682	1.636570	1.566937	0.071845
-253.641838	-150.726614	1.641574	1.567026	0.071835
-254.791667	-222.108983	1.646579	1.567179	0.071779
-255.815316	-104.239275	1.651584	1.567303	0.071871
-257.098193	-288.352917	1.656589	1.567482	0.071727
-257.983455	-351.519729	1.661594	1.567601	0.071678
-258.953532	-205.369871	1.666598	1.567716	0.071791
-259.751561	-347.773903	1.671603	1.567829	0.071680
-260.955144	-149.335482	1.676608	1.567971	0.071834
-262.020343	-198.059346	1.681613	1.568112	0.071796
-262.859968	-207.466095	1.686618	1.568221	0.071789
-263.823253	-251.962742	1.691622	1.568349	0.071754
-264.689753	-181.614030	1.696627	1.568456	0.071808
-265.414137	-248.475618	1.701632	1.568555	0.071756
-266.872569	-190.050391	1.706637	1.568739	0.071801
-267.633527	-137.492623	1.711642	1.568833	0.071842
-268.775906	-195.431987	1.716646	1.568985	0.071797
-269.675595	-295.889722	1.721651	1.569109	0.071718
-270.752649	-309.522480	1.726656	1.569249	0.071707
-271.920311	-261.898477	1.731661	1.569396	0.071744
-273.046934	-308.668445	1.736666	1.569545	0.071707
-273.855999	-175.097194	1.741670	1.569640	0.071811
-274.846816	-180.186959	1.746675	1.569769	0.071807
-276.070739	-228.338943	1.751680	1.569931	0.071769
-276.910505	-276.736604	1.756685	1.570043	0.071731
-277.595817	-114.800970	1.761690	1.570120	0.071857
-278.739210	-27.354706	1.766694	1.570261	0.071925
-279.710551	-246.083137	1.771699	1.570403	0.071754
-280.847283	-117.815193	1.776704	1.570540	0.071854
-281.833823	-66.584167	1.781709	1.570664	0.071894
-282.858582	-240.929100	1.786714	1.570809	0.071757
-283.989226	-357.045458	1.791718	1.570964	0.071667
-284.796768	-254.601537	1.796723	1.571061	0.071746
-286.029441	-222.566078	1.801728	1.571218	0.071771
-286.927406	-290.377400	1.806733	1.571339	0.071718
-287.780324	-204.448085	1.811738	1.571443	0.071785
-288.892807	-249.896381	1.816742	1.571590	0.071749
-289.996826	-328.306946	1.821747	1.571738	0.071687
-290.928546	-270.762877	1.826752	1.571855	0.071732
-291.487620	-95.867644	1.831757	1.571915	0.071868
-293.030560	-208.419915	1.836762	1.572122	0.071780
-294.110166	-139.508420	1.841766	1.572257	0.071834
-294.551131	-128.669031	1.846771	1.572314	0.071842
-295.855461	-274.190787	1.851776	1.572492	0.071728
-296.537533	-318.116878	1.856781	1.572584	0.071694
-297.813770	-43.479618	1.861786	1.572729	0.071907
-298.834087	-231.909686	1.866790	1.572875	0.071760
-300.072330	-202.387447	1.871795	1.573033	0.071783
-300.737450	-285.842074	1.876800	1.573125	0.071718
-301.807251	-260.905334	1.881805	1.573261	0.071737
-302.900701	-206.141837	1.886810	1.573399	0.071779
-303.903334	-312.058581	1.891814	1.573536	0.071697
-304.735167	-186.963761	1.896819	1.573635	0.071794
-305.982216	-262.261485	1.901824	1.573801	0.071735
-306.855960	-228.204827	1.906829	1.573912	0.071761
-307.920588	-40.766522	1.911834	1.574037	0.071907
-308.472165	-240.231666	1.916838	1.574122	0.071751
-310.113093	-90.067725	1.921843	1.574324	0.071868
-311.053984	-305.789647	1.926848	1.574461	0.071700
-312.301233	-254.992129	1.931853	1.574618	0.071739
-312.992559	-169.453892	1.936858	1.574702	0.071805
-313.990632	-254.694295	1.941862	1.574837	0.071739
-314.904858	-226.036171	1.946867	1.574953	0.071761
-315.635133	-228.089847	1.951872	1.575048	0.071759
-316.562623	-280.906774	1.956877	1.575172	0.071718
